Data,IBC-Br - índice real (2022=100) - - - Banco Central do Brasil- Sistema Gerenciador de Séries Temporais (Bacen Outras/SGS) - SGS12_IBCBR12,
2003.01,67.44595,
2003.02,69.20884,
2003.03,72.53685,
2003.04,71.67697,
2003.05,70.35145,
2003.06,69.14851,
2003.07,72.28555,
2003.08,71.17741,
2003.09,72.15907,
2003.10,73.69094,
2003.11,71.5141,
2003.12,69.95835,
2004.01,69.15227,
2004.02,69.75955,
2004.03,78.54648,
2004.04,75.30696,
2004.05,74.37239,
2004.06,75.05414,
2004.07,78.19234,
2004.08,77.6165,
2004.09,76.60565,
2004.10,76.37981,
2004.11,76.86798,
2004.12,75.44782,
2005.01,72.61546,
2005.02,72.9521,
2005.03,80.96191,
2005.04,78.80743,
2005.05,77.76167,
2005.06,78.20725,
2005.07,79.3694,
2005.08,80.7716,
2005.09,77.82645,
2005.10,78.09038,
2005.11,78.37345,
2005.12,78.03556,
2006.01,76.14353,
2006.02,75.61308,
2006.03,83.53646,
2006.04,78.99009,
2006.05,82.20132,
2006.06,80.24439,
2006.07,83.75514,
2006.08,84.9181,
2006.09,81.51716,
2006.10,83.70183,
2006.11,83.24015,
2006.12,81.57989,
2007.01,80.51483,
2007.02,79.49173,
2007.03,87.75472,
2007.04,84.37811,
2007.05,86.9084,
2007.06,85.83826,
2007.07,89.67944,
2007.08,90.52129,
2007.09,86.44355,
2007.10,90.60382,
2007.11,88.29591,
2007.12,85.87607,
2008.01,85.47385,
2008.02,85.50951,
2008.03,90.47827,
2008.04,90.82095,
2008.05,90.43071,
2008.06,91.59804,
2008.07,95.76938,
2008.08,93.90175,
2008.09,93.01081,
2008.10,93.14794,
2008.11,87.38722,
2008.12,83.40099,
2009.01,80.80383,
2009.02,80.84433,
2009.03,89.65063,
2009.04,86.34161,
2009.05,87.26343,
2009.06,88.10791,
2009.07,92.19349,
2009.08,91.67807,
2009.09,91.05246,
2009.10,92.92899,
2009.11,90.92131,
2009.12,90.64609,
2010.01,88.24706,
2010.02,89.50878,
2010.03,100.61327,
2010.04,96.00346,
2010.05,95.7585,
2010.06,95.4577,
2010.07,99.35045,
2010.08,99.28508,
2010.09,97.82198,
2010.10,97.72925,
2010.11,97.97619,
2010.12,95.87741,
2011.01,93.05458,
2011.02,95.52223,
2011.03,101.66218,
2011.04,98.12051,
2011.05,100.46787,
2011.06,99.42756,
2011.07,101.84478,
2011.08,103.46687,
2011.09,99.81771,
2011.10,99.61615,
2011.11,99.51195,
2011.12,97.66271,
2012.01,93.52812,
2012.02,94.93914,
2012.03,102.6541,
2012.04,98.09574,
2012.05,101.39913,
2012.06,99.79829,
2012.07,103.43341,
2012.08,105.15099,
2012.09,99.32127,
2012.10,103.60732,
2012.11,101.11522,
2012.12,97.86203,
2013.01,97.72463,
2013.02,95.49141,
2013.03,103.81984,
2013.04,105.0702,
2013.05,103.13055,
2013.06,101.62003,
2013.07,106.70692,
2013.08,106.4838,
2013.09,103.2995,
2013.10,106.55098,
2013.11,103.66523,
2013.12,102.24973,
2014.01,100.1067,
2014.02,100.67607,
2014.03,104.53427,
2014.04,103.59751,
2014.05,103.21166,
2014.06,98.82057,
2014.07,105.10944,
2014.08,104.00452,
2014.09,103.89798,
2014.10,105.00799,
2014.11,101.65257,
2014.12,102.04245,
2015.01,97.52729,
2015.02,95.98631,
2015.03,104.89302,
2015.04,99.94829,
2015.05,98.03887,
2015.06,97.13723,
2015.07,100.41521,
2015.08,98.73505,
2015.09,96.8381,
2015.10,98.33651,
2015.11,95.50403,
2015.12,95.61534,
2016.01,90.33436,
2016.02,91.95879,
2016.03,98.4978,
2016.04,95.35073,
2016.05,93.44611,
2016.06,94.75,
2016.07,95.81365,
2016.08,96.77447,
2016.09,93.8626,
2016.10,93.22088,
2016.11,92.93588,
2016.12,93.77482,
2017.01,90.57049,
2017.02,90.92233,
2017.03,99.65883,
2017.04,93.79178,
2017.05,95.2191,
2017.06,94.60045,
2017.07,97.02338,
2017.08,98.23504,
2017.09,94.56117,
2017.10,95.51687,
2017.11,94.90077,
2017.12,95.49162,
2018.01,92.91197,
2018.02,91.18549,
2018.03,99.31652,
2018.04,97.47225,
2018.05,92.77597,
2018.06,96.04873,
2018.07,98.92449,
2018.08,100.54449,
2018.09,95.20656,
2018.10,98.2149,
2018.11,96.72118,
2018.12,95.83058,
2019.01,93.83694,
2019.02,94.00213,
2019.03,97.4851,
2019.04,97.87797,
2019.05,97.76382,
2019.06,94.75021,
2019.07,100.38051,
2019.08,99.66813,
2019.09,96.92156,
2019.10,100.33995,
2019.11,97.50977,
2019.12,96.59324,
2020.01,94.05038,
2020.02,94.3476,
2020.03,95.63347,
2020.04,83.80699,
2020.05,84.51222,
2020.06,89.09194,
2020.07,95.72771,
2020.08,95.23939,
2020.09,96.10802,
2020.10,98.05736,
2020.11,96.72667,
2020.12,97.55777,
2021.01,92.15856,
2021.02,94.12812,
2021.03,101.3008,
2021.04,97.355,
2021.05,96.23283,
2021.06,96.4989,
2021.07,99.94403,
2021.08,99.32152,
2021.09,97.1439,
2021.10,96.51695,
2021.11,97.80684,
2021.12,99.22884,
2022.01,91.94782,
2022.02,95.67845,
2022.03,104.72046,
2022.04,100.17761,
2022.05,99.78183,
2022.06,99.28254,
2022.07,104.00916,
2022.08,104.53119,
2022.09,101.11346,
2022.10,99.99727,
2022.11,98.92096,
2022.12,99.83923,
2023.01,95.44532,
2023.02,98.76644,
2023.03,110.89359,
2023.04,104.04804,
2023.05,102.89173,
2023.06,102.3159,
2023.07,105.50848,
2023.08,106.20331,
2023.09,101.91284,
2023.10,102.06224,
2023.11,101.74246,
2023.12,101.77089,
2024.01,99.48285,
2024.02,102.38893,
2024.03,109.90938,
2024.04,109.43145,
2024.05,104.82594,
2024.06,105.92375,
2024.07,111.7527,
2024.08,110.24225,
2024.09,107.28254,
2024.10,109.40892,
2024.11,105.65034,
2024.12,104.37744,
2025.01,103.1032,
2025.02,106.84416,
2025.03,113.86991,
2025.04,112.13204,
