Data,IBC-BR
2018.01,92.91197,
2018.02,91.18549,
2018.03,99.31652,
2018.04,97.47225,
2018.05,92.77597,
2018.06,96.04873,
2018.07,98.92449,
2018.08,100.54449,
2018.09,95.20656,
2018.10,98.2149,
2018.11,96.72118,
2018.12,95.83058,
2019.01,93.83694,
2019.02,94.00213,
2019.03,97.4851,
2019.04,97.87797,
2019.05,97.76382,
2019.06,94.75021,
2019.07,100.38051,
2019.08,99.66813,
2019.09,96.92156,
2019.10,100.33995,
2019.11,97.50977,
2019.12,96.59324,
2020.01,94.05038,
2020.02,94.3476,
2020.03,95.63347,
2020.04,83.80699,
2020.05,84.51222,
2020.06,89.09194,
2020.07,95.72771,
2020.08,95.23939,
2020.09,96.10802,
2020.10,98.05736,
2020.11,96.72667,
2020.12,97.55777,
2021.01,92.15856,
2021.02,94.12812,
2021.03,101.3008,
2021.04,97.355,
2021.05,96.23283,
2021.06,96.4989,
2021.07,99.94403,
2021.08,99.32152,
2021.09,97.1439,
2021.10,96.51695,
2021.11,97.80684,
2021.12,99.22884,
2022.01,91.94782,
2022.02,95.67845,
2022.03,104.72046,
2022.04,100.17761,
2022.05,99.78183,
2022.06,99.28254,
2022.07,104.00916,
2022.08,104.53119,
2022.09,101.11346,
2022.10,99.99727,
2022.11,98.92096,
2022.12,99.83923,
2023.01,95.44532,
2023.02,98.76644,
2023.03,110.89359,
2023.04,104.04804,
2023.05,102.89173,
2023.06,102.3159,
2023.07,105.50848,
2023.08,106.20331,
2023.09,101.91284,
2023.10,102.06224,
2023.11,101.74246,
2023.12,101.77089,
2024.01,99.48285,
2024.02,102.38893,
2024.03,109.90938,
2024.04,109.43145,
2024.05,104.82594,
2024.06,105.92375,
2024.07,111.7527,
2024.08,110.24225,
2024.09,107.28254,
2024.10,109.40892,
2024.11,105.65034,
2024.12,104.37744,
2025.01,103.1032,
2025.02,106.84416,
2025.03,113.86991,
2025.04,112.13204,
