
INPC;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
              No ano;0,46;1,23;1,88;2,42;2,79;2,69;2,59;2,80;2,91;3,04;3,14;3,71;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
              Mensal;0,46;0,77;0,64;0,53;0,36;(-) 0,10;(-) 0,09;0,20;0,11;0,12;0,10;0,55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Alimentação e bebidas;0,52;0,04;(-) 0,07;0,61;0,16;(-) 0,66;(-) 0,59;(-) 0,91;(-) 0,74;0,23;0,57;1,20;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Alimentação no domicílio;0,50;(-) 0,10;(-) 0,28;0,61;0,06;(-) 0,97;(-) 0,81;(-) 1,25;(-) 0,98;0,17;0,64;1,39;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Cereais, leguminosas e oleaginosas;3,77;1,98;0,77;1,25;0,21;(-) 1,79;(-) 2,17;(-) 0,71;1,28;1,48;2,94;6,73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Farinhas, féculas e massas;0,94;1,35;(-) 0,08;0,91;0,37;(-) 0,24;(-) 0,34;(-) 1,06;(-) 0,03;(-) 0,62;(-) 0,79;0,31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Tubérculos, raízes e legumes;(-) 0,15;(-) 8,35;(-) 5,14;3,07;0,79;0,53;(-) 0,06;(-) 7,55;(-) 4,70;4,38;3,94;8,74;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Açúcares e derivados;0,35;0,27;(-) 0,44;1,19;2,22;1,17;0,09;0,47;(-) 0,09;0,47;1,10;0,41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Hortaliças e verduras;5,95;6,15;4,44;2,28;(-) 0,01;(-) 3,34;(-) 1,44;(-) 3,17;(-) 2,22;2,80;6,62;3,34;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Frutas;3,18;1,55;(-) 0,99;(-) 0,48;(-) 2,26;(-) 2,92;1,66;1,09;0,12;2,47;0,99;4,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Carnes;(-) 0,45;(-) 1,27;(-) 0,93;(-) 0,40;(-) 0,76;(-) 2,32;(-) 2,23;(-) 1,79;(-) 2,03;0,50;1,20;0,63;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Pescado;1,60;0,17;0,95;2,25;(-) 0,97;(-) 0,20;(-) 0,93;0,18;(-) 0,81;0,73;(-) 0,92;1,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Carnes e peixes industrializados;(-) 0,20;0,48;(-) 0,24;(-) 0,09;0,52;(-) 0,04;(-) 1,08;(-) 0,03;(-) 0,48;(-) 0,74;(-) 0,96;0,01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Aves e ovos;(-) 1,24;(-) 0,74;0,32;(-) 0,03;(-) 0,42;(-) 0,47;(-) 1,98;(-) 2,42;(-) 1,60;0,03;0,49;0,79;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Leite e derivados;(-) 0,04;2,15;(-) 0,07;2,56;1,44;(-) 1,19;(-) 0,93;(-) 1,67;(-) 2,21;(-) 2,72;(-) 0,50;(-) 0,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Panificados;0,49;0,46;0,73;0,43;1,04;0,21;0,25;(-) 0,64;0,01;(-) 0,25;(-) 0,14;0,08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Óleos e gorduras;(-) 0,22;(-) 1,26;(-) 2,80;(-) 2,93;(-) 4,20;(-) 5,72;(-) 2,71;(-) 0,87;(-) 0,75;(-) 0,93;0,74;1,93;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Bebidas e infusões;1,22;0,36;1,03;0,74;(-) 0,20;(-) 0,23;0,26;(-) 0,26;(-) 0,39;0,24;(-) 0,18;0,00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Enlatados e conservas;0,57;0,55;0,12;0,56;0,83;0,37;(-) 0,06;(-) 0,09;(-) 0,09;(-) 0,26;(-) 0,28;(-) 0,61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
     Sal e condimentos;(-) 0,07;(-) 0,42;(-) 0,29;0,40;1,85;1,70;0,99;0,93;1,18;(-) 0,33;(-) 0,42;0,19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
  Alimentação fora do domicílio;0,62;0,53;0,68;0,63;0,51;0,45;0,21;0,29;0,10;0,43;0,32;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Alimentação fora do domicílio;0,62;0,53;0,68;0,63;0,51;0,45;0,21;0,29;0,10;0,43;0,32;0,56;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
