DATE;CODE;RAW DATE;DAY;MONTH;YEAR;VALUE (R$)
2018-01-02;GM366_ERC366;2018-01-02T00:00:00-02:00;2;1;2018;3.2691
2018-01-03;GM366_ERC366;2018-01-03T00:00:00-02:00;3;1;2018;3.2529
2018-01-04;GM366_ERC366;2018-01-04T00:00:00-02:00;4;1;2018;3.2312
2018-01-05;GM366_ERC366;2018-01-05T00:00:00-02:00;5;1;2018;3.2403
2018-01-08;GM366_ERC366;2018-01-08T00:00:00-02:00;8;1;2018;3.2351
2018-01-09;GM366_ERC366;2018-01-09T00:00:00-02:00;9;1;2018;3.2391
2018-01-10;GM366_ERC366;2018-01-10T00:00:00-02:00;10;1;2018;3.2461
2018-01-11;GM366_ERC366;2018-01-11T00:00:00-02:00;11;1;2018;3.2295
2018-01-12;GM366_ERC366;2018-01-12T00:00:00-02:00;12;1;2018;3.2192
2018-01-15;GM366_ERC366;2018-01-15T00:00:00-02:00;15;1;2018;3.1957
2018-01-16;GM366_ERC366;2018-01-16T00:00:00-02:00;16;1;2018;3.2213
2018-01-17;GM366_ERC366;2018-01-17T00:00:00-02:00;17;1;2018;3.2318
2018-01-18;GM366_ERC366;2018-01-18T00:00:00-02:00;18;1;2018;3.2123
2018-01-19;GM366_ERC366;2018-01-19T00:00:00-02:00;19;1;2018;3.2081
2018-01-22;GM366_ERC366;2018-01-22T00:00:00-02:00;22;1;2018;3.1928
2018-01-23;GM366_ERC366;2018-01-23T00:00:00-02:00;23;1;2018;3.2243
2018-01-24;GM366_ERC366;2018-01-24T00:00:00-02:00;24;1;2018;3.1964
2018-01-25;GM366_ERC366;2018-01-25T00:00:00-02:00;25;1;2018;3.138
2018-01-26;GM366_ERC366;2018-01-26T00:00:00-02:00;26;1;2018;3.1444
2018-01-29;GM366_ERC366;2018-01-29T00:00:00-02:00;29;1;2018;3.1648
2018-01-30;GM366_ERC366;2018-01-30T00:00:00-02:00;30;1;2018;3.1655
2018-01-31;GM366_ERC366;2018-01-31T00:00:00-02:00;31;1;2018;3.1618
2018-02-01;GM366_ERC366;2018-02-01T00:00:00-02:00;1;2;2018;3.1724
2018-02-02;GM366_ERC366;2018-02-02T00:00:00-02:00;2;2;2018;3.2054
2018-02-05;GM366_ERC366;2018-02-05T00:00:00-02:00;5;2;2018;3.2349
2018-02-06;GM366_ERC366;2018-02-06T00:00:00-02:00;6;2;2018;3.2607
2018-02-07;GM366_ERC366;2018-02-07T00:00:00-02:00;7;2;2018;3.2461
2018-02-08;GM366_ERC366;2018-02-08T00:00:00-02:00;8;2;2018;3.2686
2018-02-09;GM366_ERC366;2018-02-09T00:00:00-02:00;9;2;2018;3.2815
2018-02-14;GM366_ERC366;2018-02-14T00:00:00-02:00;14;2;2018;3.2531
2018-02-15;GM366_ERC366;2018-02-15T00:00:00-02:00;15;2;2018;3.2202
2018-02-16;GM366_ERC366;2018-02-16T00:00:00-02:00;16;2;2018;3.2375
2018-02-19;GM366_ERC366;2018-02-19T00:00:00-03:00;19;2;2018;3.2341
2018-02-20;GM366_ERC366;2018-02-20T00:00:00-03:00;20;2;2018;3.2501
2018-02-21;GM366_ERC366;2018-02-21T00:00:00-03:00;21;2;2018;3.2549
2018-02-22;GM366_ERC366;2018-02-22T00:00:00-03:00;22;2;2018;3.2592
2018-02-23;GM366_ERC366;2018-02-23T00:00:00-03:00;23;2;2018;3.2411
2018-02-26;GM366_ERC366;2018-02-26T00:00:00-03:00;26;2;2018;3.2345
2018-02-27;GM366_ERC366;2018-02-27T00:00:00-03:00;27;2;2018;3.2377
2018-02-28;GM366_ERC366;2018-02-28T00:00:00-03:00;28;2;2018;3.2443
2018-03-01;GM366_ERC366;2018-03-01T00:00:00-03:00;1;3;2018;3.2614
2018-03-02;GM366_ERC366;2018-03-02T00:00:00-03:00;2;3;2018;3.2608
2018-03-05;GM366_ERC366;2018-03-05T00:00:00-03:00;5;3;2018;3.2576
2018-03-06;GM366_ERC366;2018-03-06T00:00:00-03:00;6;3;2018;3.224
2018-03-07;GM366_ERC366;2018-03-07T00:00:00-03:00;7;3;2018;3.2312
2018-03-08;GM366_ERC366;2018-03-08T00:00:00-03:00;8;3;2018;3.2512
2018-03-09;GM366_ERC366;2018-03-09T00:00:00-03:00;9;3;2018;3.249
2018-03-12;GM366_ERC366;2018-03-12T00:00:00-03:00;12;3;2018;3.26
2018-03-13;GM366_ERC366;2018-03-13T00:00:00-03:00;13;3;2018;3.2486
2018-03-14;GM366_ERC366;2018-03-14T00:00:00-03:00;14;3;2018;3.2578
2018-03-15;GM366_ERC366;2018-03-15T00:00:00-03:00;15;3;2018;3.2853
2018-03-16;GM366_ERC366;2018-03-16T00:00:00-03:00;16;3;2018;3.2899
2018-03-19;GM366_ERC366;2018-03-19T00:00:00-03:00;19;3;2018;3.2905
2018-03-20;GM366_ERC366;2018-03-20T00:00:00-03:00;20;3;2018;3.2975
2018-03-21;GM366_ERC366;2018-03-21T00:00:00-03:00;21;3;2018;3.2915
2018-03-22;GM366_ERC366;2018-03-22T00:00:00-03:00;22;3;2018;3.3027
2018-03-23;GM366_ERC366;2018-03-23T00:00:00-03:00;23;3;2018;3.3035
2018-03-26;GM366_ERC366;2018-03-26T00:00:00-03:00;26;3;2018;3.3028
2018-03-27;GM366_ERC366;2018-03-27T00:00:00-03:00;27;3;2018;3.325
2018-03-28;GM366_ERC366;2018-03-28T00:00:00-03:00;28;3;2018;3.3374
2018-03-29;GM366_ERC366;2018-03-29T00:00:00-03:00;29;3;2018;3.3232
2018-04-02;GM366_ERC366;2018-04-02T00:00:00-03:00;2;4;2018;3.3098
2018-04-03;GM366_ERC366;2018-04-03T00:00:00-03:00;3;4;2018;3.3133
2018-04-04;GM366_ERC366;2018-04-04T00:00:00-03:00;4;4;2018;3.3532
2018-04-05;GM366_ERC366;2018-04-05T00:00:00-03:00;5;4;2018;3.319
2018-04-06;GM366_ERC366;2018-04-06T00:00:00-03:00;6;4;2018;3.366
2018-04-09;GM366_ERC366;2018-04-09T00:00:00-03:00;9;4;2018;3.3897
2018-04-10;GM366_ERC366;2018-04-10T00:00:00-03:00;10;4;2018;3.4189
2018-04-11;GM366_ERC366;2018-04-11T00:00:00-03:00;11;4;2018;3.4046
2018-04-12;GM366_ERC366;2018-04-12T00:00:00-03:00;12;4;2018;3.3852
2018-04-13;GM366_ERC366;2018-04-13T00:00:00-03:00;13;4;2018;3.4099
2018-04-16;GM366_ERC366;2018-04-16T00:00:00-03:00;16;4;2018;3.4257
2018-04-17;GM366_ERC366;2018-04-17T00:00:00-03:00;17;4;2018;3.4035
2018-04-18;GM366_ERC366;2018-04-18T00:00:00-03:00;18;4;2018;3.3838
2018-04-19;GM366_ERC366;2018-04-19T00:00:00-03:00;19;4;2018;3.3971
2018-04-20;GM366_ERC366;2018-04-20T00:00:00-03:00;20;4;2018;3.4096
2018-04-23;GM366_ERC366;2018-04-23T00:00:00-03:00;23;4;2018;3.4415
2018-04-24;GM366_ERC366;2018-04-24T00:00:00-03:00;24;4;2018;3.4661
2018-04-25;GM366_ERC366;2018-04-25T00:00:00-03:00;25;4;2018;3.5034
2018-04-26;GM366_ERC366;2018-04-26T00:00:00-03:00;26;4;2018;3.4971
2018-04-27;GM366_ERC366;2018-04-27T00:00:00-03:00;27;4;2018;3.467
2018-04-30;GM366_ERC366;2018-04-30T00:00:00-03:00;30;4;2018;3.4805
2018-05-02;GM366_ERC366;2018-05-02T00:00:00-03:00;2;5;2018;3.5418
2018-05-03;GM366_ERC366;2018-05-03T00:00:00-03:00;3;5;2018;3.5478
2018-05-04;GM366_ERC366;2018-05-04T00:00:00-03:00;4;5;2018;3.5302
2018-05-07;GM366_ERC366;2018-05-07T00:00:00-03:00;7;5;2018;3.5452
2018-05-08;GM366_ERC366;2018-05-08T00:00:00-03:00;8;5;2018;3.5782
